"","year","number","day","month","duration","frame","place","region","goal","form","part","noorg","smorl","psmorl","smon","psmon","union","church","sdp","cp","green","centmodr","right","establ","left","reaction","arrested","wounded","instit","ac","ic","numberac","city","numberic","multeven","c","smo1","smo2","smo3","country","sform","nsm","sgoal","part2","union2","church2","sdp2","left2","centmod2","cp2","green2","establ2","fascrac","cmfinal","sform2","partpm"
"1",75,1,6,1,1,NA,"medium-sized town",135,"Arbeitslosigkeit, En","occupation lieux",60,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,NA,NA,NA,NA,NA,NA,1,75001,NA,NA,NA,"netherlands","confrontative",0,"labor movement",60,0,0,0,0,0,0,0,0,0,0,"confrontative",4.25531914893619
"2",75,2,6,1,1,"international","large city",110,"Unterst0tzung politi","manifestation, march",50,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","no","yes",NA,111,1403,1,75002,NA,NA,NA,"netherlands","demonstrative",1,"other solidarity mov",50,0,0,0,0,0,0,0,0,0,0,"demonstrative",3.54609929078017
"3",75,3,13,1,1,"regional","large city",110,"anderes","blocus ou autres for",100,0,0,0,0,0,"no","no",0,0,0,0,0,1,0,60,0,0,NA,NA,NA,NA,111,NA,1,75003,NA,NA,NA,"netherlands","confrontative",0,"other goals",100,0,0,0,0,0,0,0,1,0,0,"confrontative",7.09219858156028
"4",75,4,13,1,1,"regional","medium-sized town",110,"gegen Umweltverschmu","publicit0 m0dias",1,0,1,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","no","no",NA,NA,NA,1,75004,1203,NA,NA,"netherlands","conventional",1,"ecology movement",1,0,0,0,0,0,0,0,0,0,0,"conventional",0.0709219858156023
"5",75,5,20,1,1,"international",NA,NA,"gegen Rassismus","publicit0 m0dias",1,0,0,1,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"no","no","yes",NA,NA,1405,1,75005,NA,NA,NA,"netherlands","conventional",1,"anti-racism",1,0,0,0,0,0,0,0,0,0,0,"conventional",0.0709219858156023
"6",75,6,20,1,1,"local","medium-sized town",135,"anderes","manifestation, march",NA,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,NA,NA,NA,NA,NA,NA,1,75006,NA,NA,NA,"netherlands","demonstrative",0,"other goals",850,0,0,0,0,0,0,0,0,0,0,"demonstrative",60.2836879432617
"7",75,7,20,1,1,"local","medium-sized town",135,"anderes","manifestation, march",NA,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,NA,NA,NA,NA,NA,NA,1,75007,NA,NA,NA,"netherlands","demonstrative",0,"other goals",850,0,0,0,0,0,0,0,0,0,0,"demonstrative",60.2836879432617
"8",75,8,27,1,7,"international","large city",120,"gegen spezifische po","manifestation, march",500,1,0,0,0,0,"no","no",0,0,0,0,0,0,0,60,0,0,"yes","no","yes",NA,122,1409,1,75008,NA,NA,NA,"netherlands","demonstrative",1,"other solidarity mov",500,0,0,0,0,0,0,0,0,0,0,"demonstrative",35.4609929078022
"9",75,9,27,1,1,"international","large city",155,"f0r spezifische poli","collecte pour groupe",500,0,0,0,0,0,"no","no",1,0,0,0,0,1,0,16,0,0,"no","no","yes",NA,156,1408,1,75009,NA,NA,NA,"netherlands","demonstrative",1,"other solidarity mov",500,0,0,1,0,0,0,0,1,0,0,"demonstrative",35.4609929078022
"10",75,10,27,1,1,"international","large city",110,"gegen Atomwaffen","manifestation, march",5000,0,0,0,0,0,"no","no",1,1,0,1,0,0,1,60,0,0,"no","yes, other event","yes",1101,111,1101,1,75010,NA,NA,NA,"netherlands","demonstrative",1,"anti-nuclear arms",5000,0,0,1,1,1,1,0,0,0,0,"demonstrative",354.609929078014
